CC(=O)c1cc(CC(=O)N2CCc3nccn3C2)cs1
CN1CC2COCC(C1)N(C(=O)c1cnc3ccccc3c1)C2
CC(C)N1CCC(C(=O)N2CC(c3cccnc3)C2)CC1
COc1ccc(OC)c(C2CCN(C(=O)C3(N)CCCC3)C2)c1
O=C(Cc1ccc(F)cc1)N1CCCC(c2ccn(CCO)n2)C1
CC1=C(CCN2CCC(c3nc(C)n[nH]3)CC2)OC(=O)O1
CN1CCc2[nH]cnc2C12CCN(C(=O)c1ccc(Cl)cn1)CC2
Cc1nc(C)c(C(=O)N2CCC(c3nccn3C)CC2)nc1C
CCn1cc(C(=O)N2CCC(c3nccn3C(C)C)CC2)c(C)n1
O=C(NCC1CCN(CCn2cncn2)CC1)c1ccc(Cl)cc1
O=C(Cc1cccc(Cl)c1)N1CCC2(CC1)OCCCC2O
O=C(CC1CCN(Cc2ccc(Cl)cc2)CC1)N1CC(O)C1
CN(Cc1nc(-c2ccccn2)no1)C1CC2C=CC1C2
O=C(Cn1cccn1)N1CCCN(C2CSCCSC2)CC1
Cc1cc(-c2nc(C(C)N)no2)ccc1N1CCCC1=O
Cc1cc(N2CCCN(C(=O)CSc3ccccn3)CC2)nc(C)n1
CC(C)c1cc(C(=O)N2CCC(c3nnc[nH]3)CC2)on1
Cn1cnc2cc(C(=O)N3CCC(c4nnc[nH]4)CC3)ccc21
O=C(NC1CC1)c1cc2n(n1)CCN(Cc1ccccc1C)C2
CC(=O)Nc1ccc(C(=O)N(C)Cc2nccn2C)cc1
O=C(CSc1ccncc1)N1CCCC(c2cc[nH]n2)C1
CCN1CCN(C(=O)c2cc(Cn3c(C)nc4ccccc43)[nH]n2)CC1
CN(Cc1ccc(CN2CCOCC2)o1)Cc1cn2ccsc2n1
CN1CC2(CCN(C(=O)c3cccn3C)CC2)OCCC1=O
COc1cc2c(cc1OC)CN(C(=O)c1onc3ncccc13)CC2
Cc1noc(CN2CCCC(c3nc4ccccc4o3)C2)n1
CN(C)Cc1nc(C(=O)NC2COc3ccccc3C2)cs1
COc1ccc2c(=O)n(C(C)c3cnn(C)c3)ccc2c1OC
COC(=O)c1cc2n(n1)CCN(C(=O)c1cn3ccsc3n1)C2
CC(=O)N1CCC(c2nc(-c3ccccc3N)no2)CC1
Cc1ccc(N2CCN(C(=O)c3cccc(CO)n3)CC2)cn1
Cc1nc(CC(=O)N2CCC(c3ccncc3)CC2)c(C)o1
CCCn1ccnc1CN1CCCN(C(=O)c2cncn2C)CC1
Cc1cc(CC2CN(C(=O)Cc3ccc(N(C)C)cc3)CC2O)on1
CN1CCN(C(=O)c2cccc(O)c2)CC1Cc1cccnc1
CC(=O)NCC1CCN(C(=O)Cc2cscn2)CC1
Cc1cc(N2CC3COCC(C2)N(C)C3=O)nc2ccccc12
COC(=O)CN1CCOC2(CCN(C(=O)c3ncoc3C)CC2)C1
Cc1cc(C)n(C2CN(C(=O)c3cc(CC(C)C)nn3C)C2)n1
Cc1cc(C)n(C2CN(C(=O)c3ccc4nonc4c3)C2)n1
Cn1cc(CN2CCCN(C(=O)c3ccco3)CC2)cn1
CSc1ncc(CN2CCCN(C(=O)Cn3ccnc3)CC2)cn1
CC(C)(O)C#Cc1ccc(CN2CC3CCCN3C(=O)C2C)s1
O=C(NCC1CCCO1)N1CCCN(C2Cc3ccccc3C2)CC1
CCCN1C(=O)c2ccc(C(=O)NCc3ccccn3)cc2C1=O
O=C(c1cn(Cc2ccccc2C(F)(F)F)nn1)N1CCSCC1
CCN1CCC(NC(=O)C2CCN(Cc3ccco3)CC2)C1
O=C(NC1CC1)C1CCCN(S(=O)(=O)c2ccc(F)c(F)c2)C1
Cc1nc2ncccn2c1C(=O)N(C)C(C)c1cccnc1
COc1ccc(N2CC(C(=O)NCc3cc(C)on3)CC2=O)cc1
COCc1nc(CNC(=O)Cc2cccc(C(F)(F)F)c2)no1
CC(C)c1cc(C(=O)N2CCCn3nc(C#N)cc3C2)no1
CCn1ccnc1CN1CCc2nnc(C3CCCO3)n2CC1
Cc1cc(C)n(CCC(=O)NC2CCN(CC3CCCO3)CC2)n1
CCC(O)C(=O)N1CCC(c2ncnn2Cc2ccc(C)cc2)CC1
CCC1=NOC(C(=O)N2CCC(Cc3noc(C4CC4)n3)CC2)C1
CS(=O)(=O)c1ncc(Cl)c(C(=O)OCc2ccccc2F)n1
CC(C)Cc1noc(C2CCCN(C(=O)c3cnsn3)C2)n1
COc1ccc(-c2noc(Cn3ccc(N(C)C)n3)n2)cc1
CN(C)c1nc(N2CCC3(CCCO3)CCC2=O)ns1
