CCC(O)C(=O)N1CCC(c2ncnn2Cc2ccc(C)cc2)CC1
CN1CCC(n2nc(C3CCOCC3)nc2CSc2ccncc2)C1
CN1CCN(C(=O)c2cccc(O)c2)CC1Cc1cccnc1
CN(CC1CCCN(CCO)C1)S(=O)(=O)c1cccc(Cl)c1
CC(=O)N1CCN(C(=O)c2cccc(-c3cnc(N)c(Cl)c3)c2)CC1
Cc1cc(-c2nc(C(C)N)no2)ccc1N1CCCC1=O
Cn1cnc2cc(C(=O)N3CCC(c4nnc[nH]4)CC3)ccc21
CC(=O)N1CCC(c2nc(-c3ccccc3N)no2)CC1
CN1C(=O)CCOC2CN(S(=O)(=O)c3ccc(Cl)cc3)CC21
CC(=O)N1CCc2c(nc(-c3ccccn3)nc2NC2CCOC2)C1
Cc1cc(N2CCCN(C(=O)CSc3ccccn3)CC2)nc(C)n1
CCc1ncc(CN2CCC3(CC2)C(=O)N(C)c2ccccc23)cn1
Cc1cc(CC2CN(C(=O)Cc3ccc(N(C)C)cc3)CC2O)on1
CC(=O)c1cc(CC(=O)N2CCc3nccn3C2)cs1
O=C(NCC1CCN(CCn2cncn2)CC1)c1ccc(Cl)cc1
Cc1nc(C)c(C(=O)N2CCC(c3nccn3C)CC2)nc1C
CC(C)=CCN1CC2CCC(C1)N(C(=O)c1ccncc1)C2
O=C(CC1CCN(Cc2ccc(Cl)cc2)CC1)N1CC(O)C1
Cc1cc(C(=O)N2CCCn3nc(C#N)cc3C2)ccc1F
CC(C)c1cc(C(=O)N2CCC(c3nnc[nH]3)CC2)on1
Cc1nc(C)n(CCCN2C(=O)CCc3ccccc32)n1
Cc1ccc(N2CCN(C(=O)Cc3ccc4c(c3)OCO4)CC2)nc1
CSCCC(=O)N1CC2CN(Cc3cncn3C)CC2(CO)C1C
COC(=O)c1cc2n(n1)CCN(C(=O)c1cn3ccsc3n1)C2
CC(=O)N1CCC(Nc2cc(C)nc(N3CCCCC3)n2)CC1
CC(C)=CCN1C(=O)C2CCC1CN(C(=O)c1cc(C)[nH]n1)C2
CC(C)N1CCC(C(=O)N2CC(c3cccnc3)C2)CC1
OCC1CN(Cc2cc(F)cc(F)c2)CC1CN1CCCCC1=O
O=C(c1ccc(-n2cccn2)cc1)N1CCc2nocc2C1
Cn1c(CN2CCCN(C(=O)C3CCOC3)CC2)nc2ccccc21
COc1ccc(OC)c(C2CCN(C(=O)C3(N)CCCC3)C2)c1
COc1ccc2c(=O)n(C(C)c3cnn(C)c3)ccc2c1OC
Cn1ncc(N2CCC(CNC(=O)CCc3cccnc3)C2)cc1=O
O=C(c1ccccc1-c1ncc[nH]1)N1CCN2C(COCC2C2CC2)C1
CCN(Cc1cc(CN2CCOCC2)cs1)CC1COCCOC1
O=C(Cc1ccc(F)cc1)N1CCCC(c2ccn(CCO)n2)C1
O=C(Cc1cccc(Cl)c1)N1CCC2(CC1)OCCCC2O
Cc1noc(CN2CCCC(c3nc4ccccc4o3)C2)n1
O=C(Cc1ccccc1F)N1CCCN(c2nnnn2CF)CC1
Cc1cc(F)ccc1C(=O)NC1C2CCOC2C1N1CCCC1
CCCc1cnc(C)nc1N1CCCN(C(=O)c2cnccn2)CC1
CN(Cc1ccc(CN2CCOCC2)o1)Cc1cn2ccsc2n1
COc1ccccc1N1CCN(Cc2nccn2C)CC12CCOCC2
CN1CC2(CCN(C(=O)c3cccn3C)CC2)OCCC1=O
CCOC(=O)C1C(C)C=CC2CN(C(=O)Cc3cccc(F)c3)CC21
COc1ccc(C(=O)N2CC(O)C(Cc3cc(C)no3)C2)cn1
Cc1nc(CCN2CCCCC2=O)n(-c2ccc3nsnc3c2)n1
COCCN1CC(CN(C)c2nc(C)c3ccc(C)cc3n2)CC1=O
Cn1cc(CN2CCCN(C(=O)c3ccco3)CC2)cn1
CN(C)C(=O)c1ccc(CNC(=O)C2COc3ccccc3C2)o1
CN(Cc1cccnc1)Cc1nc(Cc2ccc3c(c2)OCO3)no1
CC(C)Cc1noc(C2CCCN(C(=O)c3cnsn3)C2)n1
CN(C)c1nc(N2CCC3(CCCO3)CCC2=O)ns1
CC(C)Cc1cc(C(=O)N2CCCC2)ccc1N(C)S(C)(=O)=O
COC(=O)c1n[nH]cc1CN(C)Cc1ccccc1-n1cccn1
CN1CCc2[nH]cnc2C12CCN(C(=O)c1ccc(Cl)cn1)CC2
COC(=O)CN1CCOC2(CCN(C(=O)c3ncoc3C)CC2)C1
O=C(Cc1cn2ccsc2n1)NCC1COc2ccccc2O1
CC(=O)NC1CN(Cc2ccncc2)CC1c1ccc(C)o1
COc1ccc(N2CCN(C(=O)CC(C)C)C(C)C2=O)cn1
Cc1cc(C)n(C2CN(C(=O)c3cc(CC(C)C)nn3C)C2)n1
O=C(c1ccc2nc(-c3ccccc3)cn2c1)N1CCOCC1
COc1ccc(S(=O)(=O)NC2CC3COC(C)CN3C2)cc1C
CSCC(=O)N1CC2COCC1CN(Cc1csc(C)n1)C2
O=c1ccc(Cn2cc(CCc3nc(C4CCOC4)no3)cn2)cs1
Cc1nc2ccc(C(=O)N3CCN(c4ncccn4)CC3)cc2nc1C
O=C(c1cn(Cc2ccccc2C(F)(F)F)nn1)N1CCSCC1
CCC1=NOC(C(=O)N2CCC(Cc3noc(C4CC4)n3)CC2)C1
